filepath,caption
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6191_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7800_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_270_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3381_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4504_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3815_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1563_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_654_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_425_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3100_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3784_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4841_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6633_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_825_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3051_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3483_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6150_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5932_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_851_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7324_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6762_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4970_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6125_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3941_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8245_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2293_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5545_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7655_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5140_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3330_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2885_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6960_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1421_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1395_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2440_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4050_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6835_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4534_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6391_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8790_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4755_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6480_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1841_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1141_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6905_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1875_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8084_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3663_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7992_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3651_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1354_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8834_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5155_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6795_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5811_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2662_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7194_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3631_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5950_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_9454_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4285_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_9921_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_9080_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7414_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_682_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6571_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2653_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_772_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6884_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2174_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7510_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8392_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_1410_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3980_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6375_train.png,F
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_9655_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8712_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4442_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_4695_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6282_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6184_train.png,H
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_980_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_910_train.png,E
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_2152_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3135_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3353_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3001_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_7375_train.png,C
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6862_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_6964_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3635_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_3065_train.png,D
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5214_train.png,B
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5113_train.png,G
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_5211_train.png,A
./train/./RAVEN-10000/in_center_single_out_center_single/RAVEN_8814_train.png,B
